Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
ACMEPL,ACME Pesticides Limited,36.00,36.00,3:45 PM,35.30 - 36.80,0,16.44,0.00%,11.00 - 40.20,35.30,"455,119.00",36.00,672,36.00,"4,860.000","1,500.00","14 Nov, 2021","1,350.00",Equity,10.0,1,"135,000,000",Pharmaceuticals & Chemicals,"Doyarampur, Tarakanda, Fulpur,  Mymensingh, Bangladesh",+880-02-48118123,+880-2- 48118124,info@acmepesticides.com,http://www.acmepesticides.com,Md. Ariful Alam,+8801985772222,,acs2243@gmail.com
ACTIVEFINE,Active Fine Chemicals Limited,20.00,19.90,3:45 PM,19.90 - 20.30,-0.3,31.98,-1.48%,19.10 - 34.10,19.90,"1,603,502.00",20.30,799,20.30,"4,870.713","3,000.00",,"2,399.37",Equity,10.0,1,"239,936,580",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02-8836875",02-9531190,"afc@cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afchem.com,Md. Mahbubur Rahman,01992024696,02-9531023,afc.cs2018@gmail.com
ADNTEL,ADN Telecom Limited,60.80,60.80,3:45 PM,60.10 - 62.40,-0.5,11.80,-0.82%,49.80 - 83.20,61.30,"195,400.00",61.30,221,61.30,"3,963.147","2,000.00","06 Jan, 2020",646.52,Equity,10.0,1,"64,651,666",IT Sector,"Red Crescent Concord Tower (19th Floor), 17 Mohakhali C/A, Dhaka-1212","+8802 9841234, +8802 9841234 and 01777770324",+880 2 9887551,info@adnsl.net,http://www.adntel.com.bd,"Md. Monir Hossain, FCS",01777770322,+8802 9841234 Ext: 113,monir@adnsl.net
ADVENT,Advent Pharma Limited,23.40,23.40,3:45 PM,23.20 - 23.90,-0.2,10.61,-0.85%,23.20 - 38.10,23.20,"455,273.00",23.60,426,23.60,"2,197.932","1,000.00","12 Apr, 2018",931.33,Equity,10.0,1,"93,132,732",Pharmaceuticals & Chemicals,"Rupayan Karim Tower, Level # 10, 80-Kakrail, VIP Road, Ramna, Dhaka-1000.",+88-02-9185352,+88-02-9185351,adventpharmaltd.bd@gmail.com,http://www.adventpharmabd.com,Md Ikramul Islam,'01725909222,,ikramulca@gmail.com
AFCAGRO,AFC Agro Biotech Ltd.,24.20,24.20,3:45 PM,23.90 - 24.50,-0.1,4.43,-0.41%,21.40 - 38.50,23.90,"183,626.00",24.30,209,24.30,"2,799.754","3,000.00","11 Feb, 2014","1,152.16",Equity,10.0,1,"115,216,200",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02- 8836875, 02-9531023",880-2-9531190,"afc.cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afcagrobiotech.com,Sabekun Nahar,01992024515,02-9531023,afc.cs2018@gmail.com
AFTABAUTO,Aftab Automobiles Limited,25.70,25.70,3:45 PM,25.70 - 26.10,-0.5,1.72,-1.91%,24.30 - 40.40,26.00,"66,597.00",26.20,127,26.20,"2,633.599","3,000.00",,"1,005.19",Equity,10.0,1,"100,519,043",Engineering,"125/A Motijheel C/A, Dhaka - 1000",+8802 223381812,+8802 223383224,info@aftabautomobiles.com,http://aftabautomobiles.com,Mohammad Jaman Khan ACS,01713245382,"(8802) 9552212, 9554748, Ext-111",cs@aftabautomobiles.com
AGNISYSL,Agni Systems Ltd.,22.80,22.80,3:45 PM,22.60 - 23.40,-0.2,13.77,-0.87%,19.00 - 30.50,22.80,"603,401.00",23.00,343,23.00,"1,668.792","1,000.00",,725.56,Equity,10.0,1,"72,556,192",IT Sector,"Navana Tower(11th floor), Suite # A,45, Gulshan Avenue, Gulshan - 1, Dhaka - 1212","09606100700 Ext. 104,",58811902,cs@agni.com,http://www.agni.com,Md. Noor ul Alam,"01841739966 , 01615862332",09606100700 Ext. 104,noor.alam@agni.com
AGRANINS,Agrani Insurance Co. Ltd.,39.10,39.10,3:45 PM,39.10 - 40.00,-0.7,1.34,-1.76%,38.90 - 64.20,39.80,"34,258.00",39.80,105,39.80,"1,263.925",500.00,,317.57,Equity,10.0,1,"31,756,920",Insurance,"City Centre (17th floor), 90/1, Motijheel C/A, Dhaka-1000",55111007-11,88-02-55111012,info.agraniinsurance.com,http://www.agraniinsurance.com,Md. Mofizur Rahman,01723407370,8391571-4 Ex-114,mofizuraicl@gmail.com
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,7.50,7.50,3:45 PM,7.50 - 7.60,-0.1,0.55,-1.32%,7.50 - 9.80,7.60,"72,433.00",7.60,37,7.60,760.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",+88 02 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
AIBLPBOND,AIBL Mudaraba Perpetual Bond,"4,910.00","4,910.00",3:45 PM,"4,910.00 - 4,910.00",10,0.01,0.20%,"4,412.00 - 5,100.00","4,910.00",2.00,"4,900.00",2,"4,900.00",490.000,-,"05 Dec, 2021",500.00,Corporate Bond,5000.0,1,"100,000",Corporate Bond,"Al-Arafah Islami Bankrn63, Purana Paltan, Dhaka - 1000",,,-,http://www.al-arafahbank.com,,,,
AIL,Alif Industries Limited,51.90,51.90,3:45 PM,48.00 - 52.40,3.7,21.84,7.68%,35.40 - 67.30,50.00,"435,405.00",48.20,738,48.20,"2,132.930","1,500.00","28 Dec, 2017",442.52,Equity,10.0,1,"44,251,669",Textile,"Bilquis Tower (9th floor), House -06, Road-46, Gulshan-2, Dhaka - 1212","58815226, 58815227",58815228,alifindustries95@gmail.com,http://www.alifgroup-bd.com/,Mahfuzur Rahman,01552416749,"58815226, 58815227",alifindustries95@gmail.com
AL-HAJTEX,Al-Haj Textile Mills Limited,128.20,128.20,3:45 PM,123.70 - 129.50,2,58.77,1.58%,41.40 - 142.00,123.70,"462,487.00",126.20,939,126.20,"2,814.077",500.00,,222.99,Equity,10.0,1,"22,298,549",Textile,"66, Dilkusha C/A (4th floor) Chand Mansion, Dhaka",02-223384638,88 - 02 - 223383951,info@alhajtextilemills.com,http://www.alhajtextilemills.com,Md. Selim Parvez FCS,01673-406433,02-223384638,secretary@alhajtextilemills.com
ALARABANK,Al-Arafah Islami Bank Ltd,24.00,24.00,3:45 PM,23.90 - 24.40,0,1.41,0.00%,22.60 - 30.10,23.90,"58,542.00",24.00,86,24.00,"25,557.652","15,000.00",,"10,649.00",Equity,10.0,1,"1,064,902,185",Bank,"63, Purana Paltan, Dhaka - 1000","02-44850050 (direct),  02-44850005-20, ext--(212-215)",02-44850065,"board.aibl@al-arafahbank.com,  share@aibl.com.bd",http://www.al-arafahbank.com,Md. Mahmudur Rahman,01819556376,"02-44850027 (direct), 02-44850005  Ext. 111",mahmud.rahman@al-arafahbank.com
ALIF,Alif Manufacturing Company Ltd.,13.50,13.50,3:45 PM,13.40 - 13.70,-0.1,45.15,-0.74%,12.50 - 23.50,13.40,"3,353,425.00",13.60,"1,003",13.60,"3,535.007","5,000.00",,"2,599.27",Equity,10.0,1,"259,927,022",Textile,"Bilquis Tower(9th floor), House # 6,Road # 46, Gulshan Circle - 2,Dhaka - 1212.","58815226, 58815227",58815228,alifmanufacturing@gmail.com,http://amcl.com.bd,Mahfuzur Rahman,'01552416749,"58815226, 58815227",mahfuz.lkgroup@gmail.com
ALLTEX,Alltex Industries Ltd.,23.90,23.90,3:45 PM,23.90 - 24.50,-0.4,33.99,-1.65%,12.50 - 29.70,23.90,"1,417,914.00",24.30,642,24.30,"1,360.022","1,000.00",,559.68,Equity,10.0,1,"55,968,000",Textile,"Correspondence Office: Suite No. 5Brn House No. 1, Road No. 27/28, Block-KrnBanani, Dhaka, Bangladesh","(02) 48810664, '01711141161",(02) 48810665,info.alltex@yahoo.com,http://www.alltexbd.com,MD. ZIAUL HUQUE,01730031245,(02) 48810664,csalltex@yahoo.com
AMANFEED,Aman Feed Limited,34.30,34.30,3:45 PM,33.80 - 34.70,0,13.87,0.00%,33.80 - 79.70,34.70,"404,771.00",34.30,484,34.30,"4,492.285","1,500.00","01 Sep, 2015","1,309.70",Equity,10.0,1,"130,970,400",Miscellaneous,"2, Isha kha Avenue, Sector# 6, Uttara, Dhaka- 1230","880-752-956191, 880-2-48961691-3, 09612613000",880-2-58950510,masudul@amangroupbd.com,http://www.amanfeed.com,Md. Masudul Karim,01755-675040,,masudul@amangroupbd.com
AMBEEPHA,Ambee Pharmaceuticals  Ltd.,488.40,488.40,3:45 PM,487.60 - 499.50,-9.1,2.24,-1.83%,375.30 - 645.00,498.00,"4,566.00",497.50,134,497.50,"1,194.000",25.00,,24.00,Equity,10.0,1,"2,400,000",Pharmaceuticals & Chemicals,"184/1, Tejgaon Industrial Area rnDhaka-1208","(880-2) 8870777, 8870788, 8878534",8870777,cs.amir@ambeepharma.com,http://www.ambeepharma.com,Motiur Rahman,01888814455,,cs.amir@ambeepharma.com
AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran),270.30,270.30,3:45 PM,266.60 - 274.00,-1.7,4.65,-0.62%,195.10 - 399.00,266.80,"17,304.00",272.00,211,272.00,"2,176.000",500.00,,80.00,Equity,10.0,1,"8,000,000",Food & Allied,"PRAN Cenre, Ga-105/1, Middle Badda, Dhaka-1212",9881792 Ext-230,88-02-8837464,amcl@prangroup.com,http://www.pranfoods.net,Advocate Kizi Abdur Rahman,01924601238,"9881792, Ext-431",legal14@prangroup.com
ANLIMAYARN,Anlimayarn Dyeing Ltd.,37.10,37.10,3:45 PM,36.70 - 37.90,-0.3,4.08,-0.80%,32.80 - 52.90,36.80,"109,716.00",37.40,195,37.40,668.256,200.00,,178.68,Equity,10.0,1,"17,867,800",Textile,"Suite # 4/3, City Heart, 67, Naya Paltan, Dhaka-1000.","49349881-4, 9341373, 48317216",48317184,info@anlima.com,http://www.anlima.com,Mohammad Jahangir Alam,01848300800,"49349881-4, 9341373, 48317216",info@anlima.com
ANWARGALV,Anwar Galvanizing Ltd.,397.00,394.20,3:45 PM,392.10 - 408.80,1,4.33,0.25%,251.00 - 483.00,408.80,"10,951.00",396.00,75,396.00,"6,641.158",500.00,,167.71,Equity,10.0,1,"16,770,600",Engineering,"Baitul Hossain Building ( 14 Floor ), 27 Dilkusha , Motijheel, Dhaka -1000","88 02 9552134, 88 02 9564033",88 02 7124264,tauhidul.islam@anwargroup.net,http://www.anwargalvanizing.com,Mr. Tauhidul Islam FCS,01711 704 554,88 02 9551335,tauhidul.islam@anwargroup.net
AOL,Associated Oxygen Limited,37.20,37.20,3:45 PM,35.90 - 37.80,0.7,3.44,1.92%,33.90 - 66.00,37.80,"93,429.00",36.50,138,36.50,"4,007.043","1,100.00","25 Oct, 2020","1,097.82",Equity,10.0,1,"109,782,000",Fuel & Power,"BCIC Sadan(1st Floor), 26 Agrabad C/A,Chitagong","88-031-711009,  88-031-711038",88-031-2517950,info@associatedoxygenltd.com,http://www.associatedoxygenltd.com,,,,
APEXFOODS,Apex Foods Limited,176.10,176.10,3:45 PM,174.50 - 183.60,-1.9,8.76,-1.07%,126.00 - 243.00,174.50,"49,857.00",178.00,317,178.00,"1,015.027",150.00,,57.02,Equity,10.0,1,"5,702,400",Food & Allied,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212","880-2-9883358, 880-2-9883358 Ext. 152, 880-31-2771830",880-2-58810990 or 8810850,share@apexfoods.com,http://www.apexfoods.com,Kamrul Islam,01721007914,880-2-9883358 Ext. 153,share@apexfoods.com
APEXFOOT,Apex Footwear Limited.,271.90,268.80,3:45 PM,262.00 - 272.90,5.6,4.24,2.10%,220.00 - 395.00,272.90,"15,821.00",266.30,211,266.30,"3,145.669",500.00,,118.12,Equity,10.0,1,"11,812,500",Tannery Industries,"House No. 06, Road No. 137, Block - SE(D)rnGulshan-1, Dhaka-1212","02 55044841, 02 55044841 (Ext-347)",02 55044843,omar.faruque@apexfootwearltd.com,http://www.apexfootwearltd.com,Md. Omar Faruque,01717306107,02 55044841 (Ext-288),omar.faruque@apexfootwearltd.com
APEXSPINN,Apex Spinning & Knitting Mills Limited,134.00,134.00,3:45 PM,132.00 - 134.40,1.4,4.18,1.06%,109.00 - 195.90,133.80,"31,370.00",132.60,207,132.60,"1,113.840",300.00,,84.00,Equity,10.0,1,"8,400,000",Textile,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212",880-2-9883358 Ext. 152,880-2-58810850 or 9861685,share@apexknitting.com,http://www.apexknitting.com,Md. Delour Hossen,01819542647,880-2-9883358 Ext. 153,share@apexknitting.com
APEXTANRY,Apex Tannery Limited,136.30,136.30,3:45 PM,135.30 - 138.00,-1.7,5.81,-1.23%,111.50 - 184.00,135.30,"42,893.00",138.00,181,138.00,"2,103.120",500.00,,152.40,Equity,10.0,1,"15,240,000",Tannery Industries,"Plot: XA1. XA2, XA3 & XS8, BSCIC Chamra Shipla Nagari, Harindhara, Hemayetpur, Savar, Dhaka- 1340.","01711686592, 01718483597, 01711686592",,"info@apextannery.com, apex@accesstel.net",http://www.apextannery.com,"Sushanta Kumar Paul, FCS",01714299096,,sushanta@apextannery.com
APOLOISPAT,Appollo Ispat Complex Limited,8.20,8.20,3:45 PM,8.20 - 8.20,-0.1,1.18,-1.20%,7.60 - 14.80,8.20,"143,593.00",8.30,89,8.30,"3,330.861","5,000.00","24 Dec, 2013","4,013.09",Equity,10.0,1,"401,308,600",Engineering,"407, Tejgaon Industrial Area, Dhaka - 1208","+88(02)9114946 , 9115098, 9110974, 9137533 - 4, 8117559",+88(02) 9126291,rani@appollo-ispat.com,,,,,
ARAMIT,Aramit Limited,282.90,282.90,3:45 PM,279.50 - 286.40,3.8,1.80,1.36%,258.30 - 450.00,282.00,"6,374.00",279.10,101,279.10,"1,674.600",100.00,,60.00,Equity,10.0,1,"6,000,000",Miscellaneous,"53, Kalurghat Heavy I / E, P.O Mohara, Chattogram - 4208.","(+88 031) 2570986, 670473, 671950, 670368, '(+88 02) 58815556, 9887176, 9881095",(+88 031) 671583,altd@aramitgroup.net,http://www.aramitlimited.com,"Mr. Syed Kamruzzaman, FCMA",01819-240005,,cfo.atal@aramitgroup.com
ARAMITCEM,Aramit Cement Limited,33.60,33.60,3:45 PM,33.60 - 34.60,-0.6,15.66,-1.75%,24.50 - 64.00,34.20,"461,709.00",34.20,700,34.20,"1,158.696",500.00,,338.80,Equity,10.0,1,"33,880,000",Cement,"53, Kalurghat HIE, P.O. Mohara, Chattogram- 4208.","(88 031) 671950, 670473, 670368, 672516, (88-02) 9887176, 9881095",88-031-671583,shares@aramitgroup.com,http://www.aramitcement.com,"Syed Kamruzzaman, FCMA",01819240005,"(88 031) 671950, 670473, 670368, 672516,   Ext-119",cfo.atal@aramitgroup.com
ARGONDENIM,Argon Denims Limited,18.20,18.20,3:45 PM,18.00 - 18.40,-0.1,1.91,-0.55%,16.80 - 28.60,18.10,"105,965.00",18.30,121,18.30,"2,541.661","1,500.00","19 Feb, 2013","1,389.00",Equity,10.0,1,"138,888,606",Textile,"Lotus Kamal Tower One (Level 6), 57 Joar Sahara C/A, Nikunja-2, New Airport Road, Dhaka- 1229","880-2-8900870-4, 8900781-3, 880-2-9020491-2",+880-2-8900784,info@argondenims.com,http://www.argondenims.com,Md. Moniruzzaman Bhuiyan,'01714-094393,"880-2-8900870-4, 8900781-3 Ext. 137",monir@argondenims.com
ASIAINS,Asia Insurance Limited,50.00,50.00,3:45 PM,50.00 - 50.90,-1,16.75,-1.96%,49.20 - 129.40,50.00,"334,675.00",51.00,463,51.00,"2,400.563","1,000.00",,470.69,Equity,10.0,1,"47,069,858",Insurance,"Rupayan Trade Centre(14th Floor)rn114-115 Kazi Nazrul Islam AvenuernBangla Motor, Dhaka-1000.","02-5513581-84, Fax: 02-55138587",02-55138587,asiainsu@gmail.com,http://www.asiainsurancebd.com,Md. Atique Ullah Majumder,1711890048,"02-5513581-84, Ext: 104",asiainsu@gmail.com
ASIAPACINS,Asia Pacific General Insurance Co. Ltd.,45.00,45.00,3:45 PM,44.40 - 46.00,-0.3,1.77,-0.66%,44.40 - 76.50,44.40,"39,602.00",45.30,82,45.30,"1,918.455","1,000.00",,423.50,Equity,10.0,1,"42,350,000",Insurance,"\""Homested Gulshan Link Tower\"" (6th Floor), Ta-99, Gulshan Badda Link Road, Middle Badda, Dhaka.",09666771771 (Ext: 112),02-8834170,apgic@bdcom.com,http://www.apgicl.com,Md. Shariful Islam Chowdhury,01682624645,09666771771 (Ext: 106),share@apgicl.com
ATCSLGF,Asian Tiger Sandhani Life Growth Fund,9.70,9.70,3:45 PM,9.50 - 9.90,0.1,1.19,1.04%,9.10 - 15.50,9.50,"123,532.00",9.60,73,9.60,593.146,-,"31 Mar, 2015",617.86,Mutual Fund,10.0,1,"61,786,050",Mutual Funds,"Progress Tower, House # 01, Road # 23 (2nd floor), Unit # 2A & 2B, Gulshan-1, Dhaka-1212.","+(8802) 9852111, 9852112, 9852113",+(8802) 9852110,info@at-capital.com,http://www.at-capital.com,,,,
ATLASBANG,Atlas Bangladesh Ltd.,108.90,108.90,3:45 PM,108.90 - 111.30,-2.2,0.19,-1.98%,90.00 - 146.90,111.10,"1,777.00",111.10,27,111.10,"3,680.422","1,000.00",,331.27,Equity,10.0,1,"33,127,108",Engineering,"Bsec, Kawran, Bazarrnrn andrnrn Tongi, Gazipur","02-8120414, 02-8189642, 9814190, Ext-25, 01716861439",29812660,bdabl@yahoo.com,http://www.atlas.gov.bd,Sanjay Kumar Datta,01718568869,"9814190, Ex-18",san.ntl_2007@yahoo.com
AZIZPIPES,Aziz Pipes Ltd.,99.40,99.40,3:45 PM,99.30 - 101.00,-1.9,3.79,-1.88%,83.00 - 169.00,100.10,"38,052.00",101.30,203,101.30,541.664,500.00,,53.47,Equity,10.0,1,"5,347,125",Engineering,"Aziz Bhaban (3rd Floor), 93, Motijheel C/A, Dhaka - 1000",+88 02 223382691-6,88 - 02 - 223389675,info@azizpipes.com,http://www.azizpipes.com,AHM Zakaria,01678029189,88-02-9562691 Ext.-104,zakaria@azizpipes.com
BANGAS,Bangas Ltd.,137.00,137.00,3:45 PM,134.50 - 139.50,1.7,19.38,1.26%,109.40 - 165.00,138.90,"141,126.00",135.30,845,135.30,"1,031.614",500.00,,76.25,Equity,10.0,1,"7,624,643",Food & Allied,"South Avenue Tower (6th Floor), House # 50, Road # 03, Gulshan- 1, Dhaka-1212.","88-02-222260264, 88-02-222260458, 88-02-222262803",88-02-222262803,companysecretary.btg@gmail.com,http://www.bangas.com.bd,Md. Shahjahan,01726128969,"88-02-222262803, 88-02-222260264, 88-02-222260458",companysecretary.btg@gmail.com
BANKASIA,Bank Asia Ltd.,20.70,20.60,3:45 PM,20.50 - 20.90,-0.1,1.18,-0.48%,17.80 - 22.20,20.90,"57,301.00",20.80,44,20.80,"24,250.863","15,000.00",,"11,659.10",Equity,10.0,1,"1,165,906,860",Bank,"Bank Asia Tower 32 & 34 Kazi Nazrul Islam AvenuernKawran Bazar, Dhaka-1215","880-9617-001100 Ext: 001213,001215, 01711198680",880-2-55013976,monzur.morshed@bankasia-bd.com,http://www.bankasia-bd.com,S.M.Anisuzzaman,01713-108866,880-9617-001100 Ext-001201,s.anisuzzaman@bankasia-bd.com
BARKAPOWER,Baraka Power Limited,22.50,22.50,3:45 PM,22.50 - 22.80,-0.4,7.87,-1.75%,22.50 - 33.20,22.80,"349,357.00",22.90,334,22.90,"5,392.164","4,000.00",,"2,354.66",Equity,10.0,1,"235,465,661",Fuel & Power,"6/A/1 (1st & 2nd Floor), Segunbagicha, Ramna, Dhaka-1000","+88-02-223352305, 223357074",+88-02-223383117,sharedept@barakapower.com,http://www.barakapower.com,Md. Saiful Islam Chowdhury,01730700857,"+88-02-223352305, 223357074 (Ext. 121)",cs@barakapower.com
BATASHOE,Bata Shoe Company (Bangladesh) Limited,930.00,922.80,3:45 PM,920.00 - 930.00,8,4.71,0.87%,"648.00 - 1,006.40",922.00,"5,109.00",922.00,131,922.00,"12,612.960",200.00,,136.80,Equity,10.0,1,"13,680,000",Tannery Industries,"Tongi Industrial Area, Tongi, Gazipur-1710.","PABX '9810501-5, 'PABX '9810501-5 (ext 194) Direct 9810514, Mobile 01711407674",9810511,bd.share@bata.com,http://www.batabd.com,Md. Hashim Reza,01713094614,PABX '9810501-5 (ext 193),hashim.reza@bata.com
BATBC,British American Tobacco bangladesh Company Limited,521.00,521.00,3:45 PM,518.00 - 530.00,0,86.59,0.00%,518.00 - 754.00,530.00,"166,289.00",521.00,"2,015",521.00,"281,340.000","5,400.00",,"5,400.00",Equity,10.0,1,"540,000,000",Food & Allied,"New DOHS Road,  Mohakhali,  Dhaka - 1206","+88 02 48811279-83, EXT-394",+880 2 8714819,md_azizur_rahman@bat.com,http://www.batbangladesh.com,Md. Azizur Rahman,+88 01313701925,"+88 02 48811279-83, Ext-392",md_azizur_rahman@bat.com
